Song,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Condition,Gender
The Man,3.666666667,4.4,3.733333333,3,4.733333333,2.4,4.8,Feminist,Male
Roar,4.8125,4.5625,4.625,3.9375,5.1875,1.9375,4.125,Feminist,Male
Not Ready,4.785714286,4.428571429,3.714285714,3.071428571,3.857142857,2.928571429,4,Feminist,Male
Stronger,4.785714286,4.5,4.571428571,4,5.285714286,2.142857143,4.071428571,Feminist,Male
You Don’t Own Me,5.058823529,5.176470588,4.411764706,4.941176471,5.588235294,1.764705882,3.764705882,Feminist,Male
Ladies' First,4.2,3.733333333,3.8,2.733333333,4.133333333,2.2,4.8,Feminist,Male
Good Ol Boys Club,3.75,4.0625,3.875,3.5,4.375,2.6875,4.375,Feminist,Male
Keep Ya Head Up,4.823529412,4.058823529,4,3.529411765,4.705882353,3,4.705882353,Feminist,Male
Grown Woman,5,4.6875,4.3125,3.1875,5.625,2,4.8125,Feminist,Male
Venom,4.866666667,3.6,4.266666667,2.666666667,4.533333333,1.733333333,5.733333333,Feminist,Male
The Lucky One,4.533333333,4.4,3.933333333,3,4.266666667,2.133333333,3.266666667,Neutral,Male
Last Friday Night,4.75,4.9375,4,3.9375,4,2.375,2.5625,Neutral,Male
Wide Open,5.285714286,4.785714286,4.571428571,3.857142857,4.785714286,1.857142857,3.5,Neutral,Male
Work Bitch,2.928571429,3.571428571,3.357142857,2.214285714,3.357142857,4,2.928571429,Neutral,Male
The Party's Over,3.857142857,4.142857143,3.857142857,2.714285714,4,3,3.285714286,Neutral,Male
Dentrimentally Stable,4.733333333,4.933333333,4.266666667,4,4.333333333,2.266666667,2.8,Neutral,Male
Rainbow,4.727272727,5.090909091,3.909090909,3.545454545,4.545454545,2.272727273,2.181818182,Neutral,Male
Ghetto Gospel,5.5,4.571428571,4.071428571,4.214285714,4.357142857,1.785714286,2.357142857,Neutral,Male
Schoolin' Life,4.214285714,4.785714286,3.642857143,3.285714286,5.071428571,2.642857143,3,Neutral,Male
Introvert,4.538461538,4.076923077,4.153846154,2.923076923,3.153846154,2.384615385,2.384615385,Neutral,Male
The Man,5.24,4.6,4.24,4.76,4.48,2.4,5.68,Feminist,Female
Roar,5.125,4.083333333,3.833333333,4.291666667,5.291666667,2.125,4.541666667,Feminist,Female
Not Ready,4.25,4.208333333,3.708333333,3.333333333,3.25,2.833333333,3.958333333,Feminist,Female
Stronger,5.04,4.08,4.04,4.44,5.2,2.28,4.88,Feminist,Female
You Don’t Own Me,5.947368421,4.947368421,4.631578947,5.526315789,6.315789474,1.631578947,4.368421053,Feminist,Female
Ladies' First,5.086956522,3.608695652,4.52173913,4.869565217,4.608695652,2.47826087,5.47826087,Feminist,Female
Good Ol Boys Club,4.761904762,3.619047619,3.714285714,4.571428571,4.714285714,3.095238095,4.19047619,Feminist,Female
Keep Ya Head Up,6.1,5.7,5.7,5.25,6.05,2,6,Feminist,Female
Grown Woman,5.904761905,4.476190476,4.857142857,5.523809524,5.952380952,1.523809524,5.80952381,Feminist,Female
Venom,5.347826087,4.260869565,4.260869565,5.043478261,4.739130435,2.434782609,5.869565217,Feminist,Female
The Lucky One,4.904761905,4.666666667,4.19047619,3.857142857,4.428571429,2.380952381,3.523809524,Neutral,Female
Last Friday Night,5.3,4.8,4.15,4.7,4.15,2.2,3.4,Neutral,Female
Wide Open,4.64,4.8,4.28,4.48,4.44,2.2,3.6,Neutral,Female
Work Bitch,4.318181818,4.772727273,4.590909091,3.772727273,4.363636364,2.5,3.590909091,Neutral,Female
The Party's Over,4.153846154,4.115384615,4.115384615,3.346153846,3.961538462,3.038461538,3.692307692,Neutral,Female
Dentrimentally Stable,4.705882353,4.705882353,4.529411765,3.411764706,4.235294118,2.411764706,3.823529412,Neutral,Female
Rainbow,5.142857143,4.523809524,4.333333333,4.19047619,4.380952381,2.428571429,3.047619048,Neutral,Female
Ghetto Gospel,5.6,5.35,4.4,4.65,4.75,2.2,2.95,Neutral,Female
Schoolin' Life,4.875,5,4.5,3.375,5.208333333,1.958333333,3.708333333,Neutral,Female
Introvert,4.473684211,3.894736842,3.842105263,3.315789474,3.263157895,3.526315789,3.684210526,Neutral,Female